id,name_common,name,name_en_trade,type,brand,vendor,model,stock_no,serial_no,price,qty,budget_year,received_date,location,status,note,image_urls,created_at,updated_at
15,PAPR,ชุดกันไวรัส PAPR ความดันบวก(หมวกป้องกันการติดเชื้อ แบบที่1)),,PAPR,3M,,Model Versailles TR-300+,4240-35-740-4121,Sn.CUK3-66650,51400.00,,,8มิย64,,,บริจาค,,,
16,PAPR,ชุดกันไวรัส PAPR ความดันบวก(หมวกป้องกันการติดเชื้อ แบบที่1)),,PAPR,3M,,Model Versailles TR-300+,4240-35-740-4121,Sn.CUK3-66652,51400.00,,,8มิย64,,,บริจาค,,,
17,PAPR,ชุดกันไวรัส PAPR ความดันบวก(หมวกป้องกันการติดเชื้อ แบบที่1)),,PAPR,3M,,Model Versailles TR-300+,4240-35-740-4121,Sn.CUK3-68823,51400.00,,,8มิย64,,,บริจาค,,,
18,PAPR,ชุดกันไวรัส PAPR ความดันบวก(หมวกป้องกันการติดเชื้อ แบบที่1)),,PAPR,3M,,Model Versailles TR-300+,4240-35-740-4121,Sn.CUK3-66844,51400.00,,,8มิย64,,,บริจาค,,,
19,PAPR,ชุดกันไวรัส PAPR ความดันบวก,,PAPR,3M,,Model Versailles TR-300+,,Sn.CUK5-34806,42000.00,,,13สค64,,,,,,
20,PAPR,ชุดกันไวรัส PAPR ความดันบวก,,PAPR,3M,,Model Versailles TR-300+,,Sn.CUK5-10823,42000.00,,,13สค64,,,,,,
21,Emergency cart,รถเข็นช่วยชีวิตฉุกเฉิน,,รถเข็น cart,Metro,,Life-Line,,6586,85000.00,,,29สค54,,,,,,
22,รถใส่tube ยาก,รถเข็นสำหรับวางอุปกรณ์ใส่ท่อช่วยหายใจยาก,,รถเข็น cart,สั่งผลิต(saim BB),,,,No sn,73295.00,,,22กพ64,,,,,,
23,รถเข็นวิสัญญี(4ลิ้นชัก),รถเข็นสำหรับวางอุปกรณ์วิสัญญี,,รถเข็น cart,สั่งผลิต,,,,No sn,16500.00,5,,24กย58,,,,,,
24,รถเข็นวิสัญญี(4ลิ้นชัก),รถเข็นสำหรับวางเครื่องมือวิสัญญี,,รถเข็น cart,สั่งผลิต,,,,No sn,16500.00,5,,24กค57,,,,,,
25,รถเข็นวิสัญญี(3ลิ้นชัก),Table Anesthetist 3ลิ้นชัก (รถเตรียมยาสำหรับดมยาสลบ),,รถเข็น cart,สั่งผลิต,,,,No sn,4200.00,10,,2534,,,,,,
26,เครื่องวัดระดับความลึกการดมยาสลบ,เครื่องเฝ้าระวังระดับความลึกของการให้ยาระงับความรู้สึก(Complete Monitor system),,จิปาถะ,BIS   Covidien,,Complete monitoring system,,VT50213,325000.00,,,2มค63,,,,,,
27,defibrillator,เครื่องกระตุกหัวใจด้วยไฟฟ้าพร้อมระบบควบคุมจังหวะการเต้นหัวใจและวัดความอิ่มตัวของออกซิเจนในเลือด,,จิปาถะ,Phillips,,Herat start XLt,6515-35-747-1197,US01518086,294500.00,,,9พย60,,,,,,
28,defibrillator,เครื่องกระตุกหัวใจด้วยไฟฟ้า แบบเคลื่อนที่ได้,,จิปาถะ,Phillips,,M4735A,6515-35-747-1274,US00584997,330000,,,24พย53(20/10/2553),,,โอนย้าย วิศวะ ทอ.143 ที่86/66,,,
29,defibrillator,เครื่องกระตุกหัวใจด้วยไฟฟ้า พร้อมระบบควบคุมจังหวะการเต้นหัวใจแบบเคลื่อนย้ายได้,,จิปาถะ,Phillips,,M4735A,6515-35-747-1195,US00338686,362990.65,,,22มี.ค.50,OR14,,,,,
30,defibrillator,เครื่องฟื้นคืนคลื่นไฟฟ้าหัวใจ(แบบที่ 4),,จิปาถะ,Phillips,,Herat start Intrepld,,CN73906427,430000.00,,,6ต.ค.66,,,,,,
31,Temporary pacemakers,เครื่องกระตุกหัวใจชนิดภายนอก,,จิปาถะ,Medtronic,,5388 Dual chamber,6515-35-747-9813,PFG032450P,135514.02,,,25พย2551,,,โอนย้าย icu-surg,,,
32,Temporary pacemakers,เครื่องกระตุกหัวใจชนิดภายนอก,,จิปาถะ,Medtronic,,5388 Dual chamber,6515-35-747-9813,PFG025718P,135514.02,,,25พย2551,,,โอนย้าย icu-surg,,,
33,โคมไฟส่องตรวจ,โคมไฟส่องตรวจ(Examination Light)ชนิดหลอด LED,,จิปาถะ,Drager,,Variolux,6530-35-752-2098,1093783,35000.00,,,17พค62,,,,,,
34,เครื่องปั่นเหวี่ยงของเหลว (Hematocrit),เครื่องปั่นเหวี่ยงของเหลว(Hematocrit),,จิปาถะ,BENCH-TOP,,NF048,6640-35-757-2659,01-1049,55000.00,,,20กพ52,,,โอนย้ายชั้นพิเศษ(8มค69)ทอ.143 1/68,,,
35,เครื่องวัดการแข็งตัวเลือด,เครื่องวัดการแข็งตัวของเลือด(Activated clotting time analyses),,จิปาถะ,Accriva,,Hemochon signature Elite,6640-35-757-2534,SE17034,300000.00,,,25กค62,,,,,,
37,เครื่องวัดการแข็งตัวเลือด,เครื่องวัดการแข็งตัวของเลือด,,จิปาถะ,Hemochon,,Hemochon401,6640-35-757-2534,HR5793,238610(223000),,,4สค51,,,,,,
